Neighborhood,Borough,Latitude,Longitude
Mitte,Mitte,0.0,0.0
Moabit,Mitte,0.0,0.0
Hansaviertel,Mitte,0.0,0.0
Tiergarten,Mitte,0.0,0.0
Wedding,Mitte,0.0,0.0
Gesundbrunnen,Mitte,0.0,0.0
Friedrichshain,Friedrichshain-Kreuzberg,0.0,0.0
Kreuzberg,Friedrichshain-Kreuzberg,0.0,0.0
Prenzlauer Berg,Pankow,0.0,0.0
Weißensee,Pankow,0.0,0.0
Blankenburg,Pankow,0.0,0.0
Heinersdorf,Pankow,0.0,0.0
Karow,Pankow,0.0,0.0
Stadtrandsiedlung Malchow,Pankow,0.0,0.0
Pankow,Pankow,0.0,0.0
Blankenfelde,Pankow,0.0,0.0
Buch,Pankow,0.0,0.0
Französisch Buchholz,Pankow,0.0,0.0
Niederschönhausen,Pankow,0.0,0.0
Rosenthal,Pankow,0.0,0.0
Wilhelmsruh,Pankow,0.0,0.0
Charlottenburg,Charlottenburg-Wilmersdorf,0.0,0.0
Wilmersdorf,Charlottenburg-Wilmersdorf,0.0,0.0
Schmargendorf,Charlottenburg-Wilmersdorf,0.0,0.0
Grunewald,Charlottenburg-Wilmersdorf,0.0,0.0
Westend,Charlottenburg-Wilmersdorf,0.0,0.0
Charlottenburg-Nord,Charlottenburg-Wilmersdorf,0.0,0.0
Halensee,Charlottenburg-Wilmersdorf,0.0,0.0
Spandau,Spandau,0.0,0.0
Haselhorst,Spandau,0.0,0.0
Siemensstadt,Spandau,0.0,0.0
Staaken,Spandau,0.0,0.0
Gatow,Spandau,0.0,0.0
Kladow,Spandau,0.0,0.0
Hakenfelde,Spandau,0.0,0.0
Falkenhagener Feld,Spandau,0.0,0.0
Wilhelmstadt,Spandau,0.0,0.0
Steglitz,Steglitz-Zehlendorf,0.0,0.0
Lichterfelde,Steglitz-Zehlendorf,0.0,0.0
Lankwitz,Steglitz-Zehlendorf,0.0,0.0
Zehlendorf,Steglitz-Zehlendorf,0.0,0.0
Dahlem,Steglitz-Zehlendorf,0.0,0.0
Nikolassee,Steglitz-Zehlendorf,0.0,0.0
Wannsee,Steglitz-Zehlendorf,0.0,0.0
Schöneberg,Tempelhof-Schöneberg,0.0,0.0
Friedenau,Tempelhof-Schöneberg,0.0,0.0
Tempelhof,Tempelhof-Schöneberg,0.0,0.0
Mariendorf,Tempelhof-Schöneberg,0.0,0.0
Marienfelde,Tempelhof-Schöneberg,0.0,0.0
Lichtenrade,Tempelhof-Schöneberg,0.0,0.0
Neukölln,Neukölln,0.0,0.0
Britz,Neukölln,0.0,0.0
Buckow,Neukölln,0.0,0.0
Rudow,Neukölln,0.0,0.0
Gropiusstadt,Neukölln,0.0,0.0
Alt-Treptow,Treptow-Köpenick,0.0,0.0
Plänterwald,Treptow-Köpenick,0.0,0.0
Baumschulenweg,Treptow-Köpenick,0.0,0.0
Johannisthal,Treptow-Köpenick,0.0,0.0
Niederschöneweide,Treptow-Köpenick,0.0,0.0
Altglienicke,Treptow-Köpenick,0.0,0.0
Adlershof,Treptow-Köpenick,0.0,0.0
Bohnsdorf,Treptow-Köpenick,0.0,0.0
Oberschöneweide,Treptow-Köpenick,0.0,0.0
Köpenick,Treptow-Köpenick,0.0,0.0
Friedrichshagen,Treptow-Köpenick,0.0,0.0
Rahnsdorf,Treptow-Köpenick,0.0,0.0
Grünau,Treptow-Köpenick,0.0,0.0
Müggelheim,Treptow-Köpenick,0.0,0.0
Schmöckwitz,Treptow-Köpenick,0.0,0.0
Marzahn,Marzahn-Hellersdorf,0.0,0.0
Biesdorf,Marzahn-Hellersdorf,0.0,0.0
Kaulsdorf,Marzahn-Hellersdorf,0.0,0.0
Mahlsdorf,Marzahn-Hellersdorf,0.0,0.0
Hellersdorf,Marzahn-Hellersdorf,0.0,0.0
Friedrichsfelde,Lichtenberg,0.0,0.0
Karlshorst,Lichtenberg,0.0,0.0
Lichtenberg,Lichtenberg,0.0,0.0
Falkenberg,Lichtenberg,0.0,0.0
Malchow,Lichtenberg,0.0,0.0
Wartenberg,Lichtenberg,0.0,0.0
Neu-Hohenschönhausen,Lichtenberg,0.0,0.0
Alt-Hohenschönhausen,Lichtenberg,0.0,0.0
Fennpfuhl,Lichtenberg,0.0,0.0
Rummelsburg,Lichtenberg,0.0,0.0
Reinickendorf,Reinickendorf,0.0,0.0
Tegel,Reinickendorf,0.0,0.0
Konradshöhe,Reinickendorf,0.0,0.0
Heiligensee,Reinickendorf,0.0,0.0
Frohnau,Reinickendorf,0.0,0.0
Hermsdorf,Reinickendorf,0.0,0.0
Waidmannslust,Reinickendorf,0.0,0.0
Lübars,Reinickendorf,0.0,0.0
Wittenau,Reinickendorf,0.0,0.0
Märkisches Viertel,Reinickendorf,0.0,0.0
Borsigwalde,Reinickendorf,0.0,0.0
