Name,Category,Address,Borough,Neighborhood,Latitude,Longitude,id,Rating,Price_cat,Tips,Likes
Berliner Dom,Church,Am Lustgarten 1,Mitte,Mitte,52.51913265308326,13.401045799255371,4adcda7cf964a520534721e3,9,0,278,2574.0
SAuER Mutter,Bar,Forster Straße 46,Mitte,Mitte,52.494484,13.4328,58cd9504ce66aa6e72d8d572,0,0,0,1.0
Schiffsanleger Nikolaiviertel,Pier,Nikolaiviertel,Mitte,Mitte,52.518190434913876,13.403044391956907,4e6ca7d352b14562866e2239,0,0,3,4.0
Schlossplatz,Plaza,Schloßplatz 1,Mitte,Mitte,52.51765719659844,13.401196002960205,4b4cd68cf964a5200ac126e3,6,0,5,14.0
Humboldt Forum im Berliner Schloss,Museum,Unter den Linden 3,Mitte,Mitte,52.51729158910146,13.401045799255371,4fb8fb84e4b0698549dc63bf,7,0,6,17.0
DDR Museum,History Museum,Karl-Liebknecht-Str. 1,Mitte,Mitte,52.51940384308041,13.40223855826597,4ae9c897f964a52062b621e3,7,0,208,837.0
Spree Side Gallery am Humboldtforum,Public Art,Spreeufer,Mitte,Mitte,52.51754255335042,13.403353135975516,53204840498e6b844dc80751,0,0,0,4.0
Marx-Engels-Forum,Park,Karl-Liebknecht-Str.,Mitte,Mitte,52.51878766951306,13.403253588072655,4bebeeb16295c9b6b8388808,6,0,11,37.0
Lustgarten,Garden,Am Lustgarten,Mitte,Mitte,52.518469490131785,13.399454063404399,4adcda7cf964a5205f4721e3,9,0,63,339.0
Yandex.Germany,Tech Startup,"Karl-Liebknecht-Straße, 1",Mitte,Mitte,52.519569602435894,13.402732651272563,52d3a05e498e3f957e2e751f,0,0,1,7.0
Restaurant HEat,Breakfast Spot,Karl-Liebknecht-Str. 3,Mitte,Mitte,52.51956070828048,13.402705776194136,4ba9f250f964a5203f3f3ae3,6,0,31,50.0
Auswärtiges Amt Ministerflügel,Meeting Room,Kurstr. 36,Mitte,Mitte,52.51838122210185,13.40044196917842,4d9ec815ded9a093b889f606,5,4,59,15.0
Cowei,Vietnamese Restaurant,Stadtbahnbogen 152,Mitte,Mitte,52.5222693,13.3996439,4d8790a850913704dd02c35b,6,1,14,195.0
Bandy Brooks,Ice Cream Shop,Karl-Liebknecht-Straße 1,Mitte,Mitte,52.519143877325696,13.40262448588463,4bab615df964a520d9a43ae3,4,4,7,195.0
Cafe Einstein Stammhaus,Lounge,Berlin,Mitte,Mitte,52.51876847427375,13.40233298152129,56ab38f2498e3b4bcfab6d5e,5,3,48,54.0
Marx-Engels-Denkmal,Outdoor Sculpture,Karl-Liebknecht-Str.,Mitte,Mitte,52.51875193508855,13.403279506602015,519a672a498e1f773f5d00a1,5,1,38,40.0
Liebknechtbrücke,Bridge,Karl-Liebknecht-Str.,Mitte,Mitte,52.51878514735167,13.402341733904013,4f2530f0e4b0020c2f8d2f97,5,3,46,213.0
Starbucks,Coffee Shop,Panoramastr. 1A,Mitte,Mitte,52.52080771709556,13.410544131364468,4babb6d5f964a52002c33ae3,5,3,34,193.0
Einstein Kaffee,Coffee Shop,Am Lustgarten,Mitte,Mitte,52.518662064439965,13.401183957757143,4bc46a7474a9a59309bfd5f6,5,3,82,108.0
Rathausbrücke,Bridge,Rathausstr.,Mitte,Mitte,52.51699013930889,13.40393365017084,4da856e304376c33688549b1,6,2,19,299.0
Kuppelumgang Berliner Dom,Scenic Lookout,Am Lustgarten 1,Mitte,Mitte,52.51896599010725,13.400980681715229,51838de5498e3fca634679a8,5,3,97,121.0
Berlin City Tour – Lustgarten/Museumsinsel,Bus Line,Karl-Liebknecht-Str.,Mitte,Mitte,52.517918342947944,13.400015830993652,4d5d9bc0922960fce1c1528b,5,3,99,22.0
Aqua Lounge,Nightclub,Karl Liebknecht Strasse 3,Mitte,Mitte,52.51877967037195,13.402527531064873,4adcda7bf964a5202f4721e3,5,1,43,64.0
Neuer Marstall | Hochschule für Musik Hanns Eisler,College Arts Building,Schloßplatz 7,Mitte,Mitte,52.51669303610714,13.403473691691579,4c091bf46071a5933548dd32,5,1,40,110.0
Hohenzollerngruft,Cemetery,Am Lustgarten 1,Mitte,Mitte,52.51881928593876,13.40106725692749,4f5cac81e4b053fd68cf4577,5,2,82,144.0
Julchen Hoppe,German Restaurant,Rathausstr. 25,Mitte,Mitte,52.517396793480906,13.404751382677345,4d32fd98c6cba35d3b94267a,6,1,45,53.0
Berliner Wassertaxi Anlegestelle DomAquarée,Pier,Vera-Brittain-Ufer,Mitte,Mitte,52.51922315891228,13.401954402340259,4e6cc018fa76fa035861d7da,5,2,88,54.0
Knechtbrücke,Bridge,Unter den Linden,Mitte,Mitte,52.518732,13.402138,5cc8819aa4b51b002cb0f6c8,5,3,10,257.0
Spreeufer 6,Residential Building (Apartment / Condo),Spreeufer 6,Mitte,Mitte,52.51702753844174,13.404187408971762,5501db28498eafa7bcbccdf0,5,2,8,40.0
Lindt,Candy Store,Karl-Liebknecht-Str. 3-5,Mitte,Mitte,52.51957938,13.40281578,5b9a5bfd27cbd1002535330f,5,2,23,291.0
Mensa Neuer Marstall,College Cafeteria,Schlossplatz 7,Mitte,Mitte,52.516423,13.403744,50aa2382e4b0eaea6f8358d8,5,3,41,110.0
Atrium Lobby Lounge & Bar,Hotel Bar,Karl-Liebknecht-Str. 3,Mitte,Mitte,52.519596959299655,13.40277435240641,507faaf3f31c44e07e35b2e6,5,4,48,85.0
Human Rights Watch Berlin Office,Non-Profit,Neue Promenade 5,Mitte,Mitte,52.522772,13.401601,50f41a82e4b0a0fda304ddb0,5,3,97,295.0
Bandy's Currywurst,Fast Food Restaurant,Karl-Liebknecht-Str. 1,Mitte,Mitte,52.51911746617349,13.402158911857564,56aa0627498e6f7f0a81620a,5,1,92,217.0
Fundamente des Dominikanerkloster Cölln,Historic Site,Schlossplatz,Mitte,Mitte,52.516684,13.401901,4e09d4ee18a8382643c46f35,5,2,33,81.0
Zehlendorf,Bridge,Deutschland,Mitte,Mitte,52.518536,13.404577,57717175498e6f3e3a921ded,5,1,56,153.0
Relief Friedenstaube,Outdoor Sculpture,Rathausstr. 25,Mitte,Mitte,52.51708266916584,13.404629230499268,507c1393067d825b5cbd5546,6,3,73,15.0
Märchenland - Deutsches Zentrum für Märchenkultur,Office,Spreeufer 5,Mitte,Mitte,52.5165782555638,13.402975538880545,4f72e513e4b0c861bc48fd44,5,3,92,233.0
Führungsakademie für Kirche und Diakonie,College Academic Building,Am Lustgarten - Portal 12,Mitte,Mitte,52.519332,13.401341,4f950aeee4b0aed820beffac,5,2,89,246.0
Sugar Tapas Bar,Cocktail Bar,Wilhelmshavener Str. 14,Mitte,Moabit,52.52987919772112,13.341288500078788,50e4847052621298e8ca8f65,5,4,95,22.0
Wipa Moabit,School,Stromstr 47,Mitte,Moabit,52.529249,13.342306,4dde1e6ad1641542183b5434,5,1,61,17.0
ESHK,Salon / Barbershop,Stromstraße 44,Mitte,Moabit,52.529978,13.343498,5dc72100042a4f000835f981,5,1,86,258.0
George R,Cocktail Bar,Wilhelmshavener Str. 57,Mitte,Moabit,52.53024939868373,13.341323381420828,532371c5498e4320e5978dac,6,1,7,25.0
Zum Stammtisch,Pub,Bredowstr. 15,Mitte,Moabit,52.53008628769528,13.340005179533046,4c6c19c16af58cfa65d28517,5,2,65,146.0
Taverna Amphipolis,Taverna,wilhelmshavener str. 6,Mitte,Moabit,52.5283773025609,13.341430713623419,4c17c87bfe5a76b0b4120115,3,3,3,121.0
Trattoria da Luma,Trattoria/Osteria,Birkenstrasse 55,Mitte,Moabit,52.531531708133606,13.344550872952926,54a1b5f2498e03eea6180c8a,5,2,46,229.0
doy doy,Doner Restaurant,Birkenstr.,Mitte,Moabit,52.53195871548254,13.342509245627188,54499e82498e345138d16c23,5,3,33,134.0
Quarters,Residential Building (Apartment / Condo),Stromstrasse 36,Mitte,Moabit,52.531207,13.3424,59e3d8f70d173f428893ff61,5,3,45,218.0
U Birkenstraße,Metro Station,Birkenstr.,Mitte,Moabit,52.532283770500335,13.341584426405808,4c0a8f7c6071a59313c2df32,5,1,43,80.0
H Stromstraße,Bus Stop,Perleberger Str.,Mitte,Moabit,52.52919185643167,13.34400326013565,4de5f73845dda52a060182f0,5,3,12,14.0
Heine Bar,Bar,Putlitzstrasse 19,Mitte,Moabit,52.532474796631035,13.34290623664856,584e938df68d8d25ca98df99,5,4,87,137.0
monkey mind,Café,Bredowstr. 14,Mitte,Moabit,52.529835,13.340217,5d862987f8f15c0008751b43,5,2,19,140.0
MOA Bogen,Shopping Mall,Stephanstr. 38-43,Mitte,Moabit,52.531978460752434,13.344162929431352,4dae9efa7aba203c086183dc,5,3,46,105.0
Kuruyemis,Convenience Store,Stromstr. 53,Mitte,Moabit,52.53014089592439,13.344572851551371,50c3a8d6e4b07819216e90a5,4,3,8,204.0
PhysioCenter,Spa,Wilhelmshavener Straße 25,Mitte,Moabit,52.531371,13.341281,530b33fe498ef143b65384e5,4,2,25,240.0
"Russian Sauna Banja ""Berezka""",Sauna / Steam Room,Stromstraße 50,Mitte,Moabit,52.52884,13.343055,5c37a2d53abcaf002c18a73e,5,2,77,278.0
Levent Kaya Friseure,Salon / Barbershop,Stromstraße 49,Mitte,Moabit,52.528172,13.341827,54e740d3498e179cb1e91b43,5,2,90,56.0
Arema Café & Restaurant,Breakfast Spot,Birkenstr. 30,Mitte,Moabit,52.53224629268898,13.34228664798818,4b445560f964a520e9f325e3,4,4,53,247.0
Pretty Deadly Self Defense,Private School,Stromstrasse 38,Mitte,Moabit,52.53084218305897,13.342998955886287,5ad9e3dd364d977559573288,5,2,72,29.0
Delphin Fisch & Steak,Seafood Restaurant,Putlitzstraße 1,Mitte,Moabit,52.53233,13.343766,57a78c44498e0e2f44e0d628,5,4,70,193.0
Tirrée,Café,Birkenstr. 46,Mitte,Moabit,52.532153741214614,13.341539621589543,51fd7012498e32e3a0e1ef94,5,3,25,126.0
geh Veg,Vegetarian / Vegan Restaurant,Birkenstr. 30,Mitte,Moabit,52.53217798550378,13.342044124870919,54df15c6498ed36be495c287,5,4,69,197.0
Glispa GmbH,Office,Stromstr. 11-17,Mitte,Moabit,52.52860040249733,13.344095845622284,5b5ad09a9f8a9f002c7c418a,6,2,26,157.0
Apotheke im Schultheiss Quartier,Pharmacy,Stromstr. 14,Mitte,Moabit,52.527804,13.34367,5c2e3705c0f163002c136018,4,3,37,269.0
Stromstraße 36,Residential Building (Apartment / Condo),Stromstraße 36,Mitte,Moabit,52.531225,13.342967,5c02f724916bc1002c788013,5,3,43,25.0
HairExpress,Salon / Barbershop,"Birkenstr. 22-28, MOA-Bogen",Mitte,Moabit,52.53211958168727,13.34473118650817,51757e9b498e616e70421e5d,5,3,54,256.0
Food Point,Doner Restaurant,Birkenstr. 29,Mitte,Moabit,52.532090821858084,13.34238142894178,4d570828611aa35d68ec4839,5,4,15,282.0
Moonshine Deluxe,Convenience Store,Perleberger Str.,Mitte,Moabit,52.529299956218196,13.345359700309576,523cc0e011d2fad2c2c79973,4,4,8,131.0
Artworx,Café,Bredowstr. 14,Mitte,Moabit,52.529985440157546,13.340192463961042,5575cb05498e055a87ebab94,5,1,70,130.0
Björn Mentler Friseure,Salon / Barbershop,Lübecker Straße 19,Mitte,Moabit,52.529362,13.34553,5811e9f938fa6b2594af8a2f,4,2,26,235.0
Birken-Eck,Doner Restaurant,Birkenstrasse,Mitte,Moabit,52.532067,13.342464,5e53be213bb3b10008f5ac52,5,2,77,36.0
WeinBerlin 2019,Convention,Stephanstr. 41,Mitte,Moabit,52.531914,13.343772,5dd0316108553700087bafe2,5,4,33,169.0
Rosa-Luxemburg-Konferenz,Convention,Stephanstr. 41,Mitte,Moabit,52.531951,13.344159,5e20b4559ce17d00084e0862,4,2,21,80.0
Wolfgang-Scheunemann-Haus,School,Bredowstr. 31-32,Mitte,Moabit,52.53119604853765,13.339804102311813,536dd1ba498efb3c12e5a324,5,3,15,99.0
Trunk Meer Tee,Café,Stromstr. 11-17,Mitte,Moabit,52.52787,13.344039,5be18d056dcf04002c4bd785,5,3,98,192.0
Hall of Events,General Entertainment,Stephanstrasse 41,Mitte,Moabit,52.531830422780715,13.344538194339888,52e54751498e7a475daa177d,4,2,18,120.0
Tando - Indian Fusion,Indian Restaurant,Stromstr. 11-17,Mitte,Moabit,52.527562,13.343716,5b7be97995a7220039686904,5,2,97,242.0
Å+,Art Gallery,Stromstr. 38,Mitte,Moabit,52.5310161,13.3429746,5c74271d1c9e2e0025c45e98,5,1,64,3.0
Spätkauf Deniz,Convenience Store,Birkenstraße 21,Mitte,Moabit,52.5311517567877,13.345487734070378,4fda4017e4b0d9021dabf565,5,2,90,71.0
Reshoe,Shoe Store,Lübeckerstr.39,Mitte,Moabit,52.5284281950004,13.345309495925903,5a7c60ad16fa045ee694b3db,5,2,66,131.0
Post Filiale | Office & Tinte,Post Office,Stephanstr. 37-43,Mitte,Moabit,52.5311662052142,13.34653399311995,4eb1668a1081ba28361fb190,5,3,55,28.0
Schäfer‘s,Bakery,Stephanstr. 37-43,Mitte,Moabit,52.531753,13.34495,59d5dc43603d2a12b36c7adb,5,2,36,187.0
Mond & Stern Croissanterie & Bäckerei,Bakery,Birkenstr. 58,Mitte,Moabit,52.531098973782726,13.345709470145184,50499fa4e4b0f91f8eef2067,5,3,62,106.0
Osco,Shoe Store,Stephanstr. 37-43,Mitte,Moabit,52.531959039067054,13.343481813665862,4ed8c3fdd5fb8f213a22ae78,5,3,93,85.0
Food Tech Campus,Tech Startup,Stephanstrasse 38-43,Mitte,Moabit,52.5318,13.344165,5a6048fee679bc058352b8e4,5,2,91,275.0
Landesamt für Gesundheit und Soziales (LAGeSo),Government Building,Turmstr. 21,Mitte,Moabit,52.52856077131878,13.346428221762727,5534bb3a498e944a9f907492,6,4,22,77.0
CISpace Coworking Café,Internet Cafe,Bugenhagenstr. 9,Mitte,Moabit,52.52801,13.341779,5d6eb7445a2aac0008cf49e3,5,3,94,196.0
Geldautomat Sparkasse,ATM,Birkenstraße 24,Mitte,Moabit,52.532047271728516,13.343732833862305,502a271fe4b07d6743e62565,4,4,86,70.0
cafe creme caramel,Café,Pariser Str. 59,Mitte,Moabit,52.5322119975596,13.341787929495089,512a2741e4b0701b3776de0c,5,3,52,52.0
Café MOA Bogen,Bakery,Stephanstr. 37-43,Mitte,Moabit,52.53169161251215,13.344419002532957,5969ccd97cc90f68a5228799,5,3,61,188.0
Zahnarzt Anett Paszkier,Dentist's Office,Bredowstr. 9,Mitte,Moabit,52.52851104736328,13.340227127075195,55143c8c498ed5363e06e737,5,2,31,175.0
Botschaft der Republik Mosambik,Embassy / Consulate,Stromstr. 47,Mitte,Moabit,52.52963657359318,13.346212366481918,4ed3523d93ad987b50740065,5,4,46,174.0
Bedirhan Hasan Feinkost,Gourmet Shop,Birkenstr. 52-53,Mitte,Moabit,52.53187,13.34436,5a50be364b78c52e9f86a964,5,3,97,144.0
Geco Lotto Toto,Lottery Retailer,Stephanstrasse 38-43,Mitte,Moabit,52.53187,13.344779,5c90e371da5e560039d34829,5,2,1,267.0
Maisbonita,Health & Beauty Service,Bredowstr. 8a,Mitte,Moabit,52.52852,13.34018,5976c1c8f4b52531002aecc4,5,1,35,111.0
David's Cosy Little Backpacker Hostel,Hostel,Wiclefstraße 66,Mitte,Moabit,52.530043,13.339927,4be2e9e1660ec928788cca3b,5,2,59,186.0
Barmenia Versicherung - Klevis Muzho,Insurance Office,Bugenhagenstr. 5,Mitte,Moabit,52.527981,13.342184,5d3bff53c88d2b000892533e,5,1,88,55.0
Tierarzt Förster,Pet Service,Birkenstrasse,Mitte,Moabit,52.531253896991515,13.345784456259912,52aadc8b11d2981cb3f3aadc,5,2,86,248.0
Deja Vu Grill,Turkish Restaurant,Birkenstr. 49,Mitte,Moabit,52.53203895491345,13.34270876914561,4fd1efdce4b08315f24af737,5,1,26,132.0
Spielsalon,Casino,Wilhelmshavener Straße 28,Mitte,Moabit,52.53163554858476,13.341386628060032,56a3ecf1498ea4de41514f4b,6,1,52,247.0
Cafe Specht,Bakery,Birkenstrasse,Mitte,Moabit,52.53348399167537,13.34042831544453,4d563f53e7f1a1cd0a6704a5,5,4,66,13.0
Copy-Day,Paper / Office Supplies Store,Lübecker Straße 22.a,Mitte,Moabit,52.530157836485145,13.345703780651093,4e8c5d480039779ed809713b,5,3,54,69.0
New Scents,Perfume Shop,Stephanstr. 37-43,Mitte,Moabit,52.531873,13.343852,597f22fa75eee4422d8624e2,5,1,76,21.0
Birkenstraße 50 c/o Pratama,Residential Building (Apartment / Condo),Birkenstraße 50,Mitte,Moabit,52.5317369206438,13.343234266858149,56def3e9498eda7f1a8840a6,5,3,16,59.0
Harem,Café,Stendalerstraße,Mitte,Moabit,52.53113110167766,13.345467276362985,5222571e11d257042db9deca,5,4,87,229.0
Срібна ігуана / Die Silber Iguana,Residential Building (Apartment / Condo),17 Wilhelmshavener St.,Mitte,Moabit,52.530315,13.341928,5311a0db11d223544c2a5405,5,1,28,40.0
Smiling Berlin Verlag,Art Gallery,Lübecker Straße 19,Mitte,Moabit,52.52950851031842,13.345414160797715,4ec67df9d5fbfa048ef4c842,5,2,14,248.0
Perleberger Str. 38,Residential Building (Apartment / Condo),Perleberger Str. 38,Mitte,Moabit,52.530014,13.344844,52c27c15498e6d284a09f3ca,5,3,55,75.0
Vollmeyer Photography,Photography Studio,Lübecker Straße 26,Mitte,Moabit,52.53102589502885,13.345191478729248,508fe03f8055ae94e2453aa8,5,3,59,295.0
Beraberce e.V.,Miscellaneous Shop,Wilhemshavenerstraße 61,Mitte,Moabit,52.52900632914853,13.34099774504358,55edb041498e6eaf30646f26,5,1,44,32.0
Casa Glisse,Residential Building (Apartment / Condo),Bredowstraße 42,Mitte,Moabit,52.5283074,13.339978349999999,4ddea2b4227106a58b906d94,5,3,57,237.0
Botschaft der Republik Tadschikistan,Embassy / Consulate,Perleberger Straße 43,Mitte,Moabit,52.52983835741832,13.344250478662845,52c6950d498eb51d21299315,5,4,25,72.0
Ok! Ziel erreicht! Existenzgründungsberatung,Financial or Legal Service,Wilhelmshavener Straße 64,Mitte,Moabit,52.528115558864364,13.34076808848688,50424f4ce4b06a6d9eac935e,5,3,68,37.0
Danny's Kickerparadies,Athletics & Sports,Stromstr 11-17,Mitte,Moabit,52.5280647277832,13.343958854675293,5182d5cb498ec59c909b0e8c,5,1,35,98.0
Kaiserschnitt,Salon / Barbershop,Lübecker Strasse 19,Mitte,Moabit,52.52951260594835,13.345427463169548,50263beae4b0c75a154d69ea,5,3,45,211.0
REWE CITY,Supermarket,Bartningallee 3,Mitte,Hansaviertel,52.518722677716,13.34249744487363,4e401ea51495bf24a5fcbc71,6,3,42,222.0
Kfz-Werkstatt Manfred Radler,Auto Workshop,Lessingstr. 2,Mitte,Hansaviertel,52.519006,13.341908,5703a042498e3c3c0d89bb51,6,2,67,214.0
Hansaplatz,Plaza,Hansaplatz,Mitte,Hansaviertel,52.51842718345503,13.342117404668054,4dd1a4917d8b4c6585da9e54,5,1,69,43.0
Thürmann,Bakery,Altonaer Str. 18,Mitte,Hansaviertel,52.51892695027704,13.34179804969597,53d5cfe3498e255a402e0d27,5,4,52,97.0
U Hansaplatz,Metro Station,Altonaer Str.,Mitte,Hansaviertel,52.51789875702558,13.342026472091675,4c4327196c1a9521f1ffb96a,5,4,93,231.0
Esso,Gas Station,"Lessingstraße 4, 10555 Berlin",Mitte,Hansaviertel,52.519739240670404,13.341122024401825,4f33c080e4b02be506f2d615,6,2,38,197.0
Lir Irish Pub,Irish Pub,Flensburger Straße 7,Mitte,Hansaviertel,52.520284479191844,13.344340720449152,4b89420ef964a5207a2632e3,4,2,4,247.0
Buchstabenmuseum,Art Museum,Stadtbahnbogen 424,Mitte,Hansaviertel,52.520003,13.344753,521717db11d2468c596576bb,5,2,14,279.0
Spreeufer Hansaviertel,Pedestrian Plaza,Wullenweberstr.,Mitte,Hansaviertel,52.51965607108677,13.343336091710214,51e82d97498e2171689b88b0,5,1,92,5.0
Geldautomat Sparkasse bei Rewe,ATM,Bartningallee 3,Mitte,Hansaviertel,52.51876031202882,13.342433844089843,5102ad21e4b005e6bcb347a6,5,2,26,217.0
Pingolino Eis,Ice Cream Shop,Bartningallee,Mitte,Hansaviertel,52.518505,13.342616,5ad36f2eb9b37b683245e51c,5,4,56,289.0
GRIPS Theater,Theater,Altonaer Str. 22,Mitte,Hansaviertel,52.51857729534326,13.3415088057518,4adcda88f964a5208e4921e3,6,2,85,87.0
King Döner,Kebab Restaurant,U Hansaplatz,Mitte,Hansaviertel,52.518499,13.341967,542298ae498e4b92c8bfe2ee,5,3,78,181.0
Ponchy,Gastropub,Klopstockstr. 32a,Mitte,Hansaviertel,52.51706699,13.34164891,5da5b8c009ff920008225a97,5,4,23,80.0
H U Hansaplatz,Bus Stop,Altonaer Str.,Mitte,Hansaviertel,52.51787917109448,13.342058658599854,52cf1445498eabc6d3c1cb64,5,2,43,160.0
Marjan Grill,Mediterranean Restaurant,Stadtbahnbogen 411,Mitte,Hansaviertel,52.52019090974542,13.346992507015973,4c655634e0c4be9a73d18758,5,3,53,295.0
P & P Bürobedarf,Paper / Office Supplies Store,Bartningallee 5,Mitte,Hansaviertel,52.51877,13.342952,5a59acb8838e595ef8de2c10,4,3,30,94.0
Giraffe,Gastropub,Klopstockstr. 2,Mitte,Hansaviertel,52.514861192881945,13.338740140014268,4ba28d26f964a5206f0338e3,5,4,60,29.0
S Bellevue,Light Rail Station,Bartningallee 18,Mitte,Hansaviertel,52.52004051162699,13.34778050309176,4b2cd4a3f964a520a4c924e3,5,4,75,10.0
Keyfi Sefa Berlin,Turkish Restaurant,Altonaer Strasse 20,Mitte,Hansaviertel,52.518350199048015,13.341654723717099,5935a3e3be57633aab082f73,5,1,21,199.0
Der Weinladen am Hansaplatz,Wine Shop,Bartningallee 5,Mitte,Hansaviertel,52.51863322313917,13.342841863632202,55eef0ab498e57241e64f406,5,2,22,177.0
Hand mit Uhr,Public Art,Altonaer Strasse,Mitte,Hansaviertel,52.519,13.339786,5afbd26a7269fe002c0ec728,5,4,79,63.0
Biggs Bar,Cocktail Bar,Stadtbahnbogen 415,Mitte,Hansaviertel,52.520107,13.346757,59160c201b0ea52ea8fa9076,5,1,71,178.0
