Name,Category,Address,Borough,Neighborhood,Latitude,Longitude,id,Rating,Price_cat,Tips,Likes
Tim Hortons,Coffee Shop,4200 Sheppard Ave East,Scarborough,Agincourt and Brimwood,43.78563681034057,-79.27921459078789,5058e50ce4b0a3bd556ccbdf,7,0,3,14.0
"Bus Stop 57, 85 & 190",Bus Line,Midland & Shepard,Scarborough,Agincourt and Brimwood,43.78511381467706,-79.27856368896744,4f66441be4b0cded5e234b44,0,0,0,0.0
May Yan Seafood Restaurant 陸福海鮮酒家,Chinese Restaurant,4227 Sheppard Ave. E. Unit B2,Scarborough,Agincourt and Brimwood,43.78451273285425,-79.27773535251617,5d80fe5ba86ac4000795406a,0,0,0,0.0
Rainbow Food,Chinese Restaurant,4227 Sheppard Avenue East,Scarborough,Agincourt and Brimwood,43.78494564768627,-79.27795818846033,4c6dd5dd06ed6dcbd338a522,0,0,1,1.0
Agincourt Professional Building,Medical Center,4235 Sheppard Avenue East,Scarborough,Agincourt and Brimwood,43.78529908234171,-79.27734167482816,4d2b7d4cf7a9224bdffe0fa0,0,0,0,0.0
Scotiabank,Office,4220 Sheppard Avenue East,Scarborough,Agincourt and Brimwood,43.78615355577244,-79.2774902990217,4f077203e4b0882d220fdf82,0,0,0,1.0
Osteo Tuina 推拿师傅,Massage Studio,B7 - 4227 Sheppard Ave E,Scarborough,Agincourt and Brimwood,43.784715,-79.277739,5b8d4e12d552c7002ca5ab76,0,0,2,1.0
Alyssa Flowers & Plants,Flower Shop,4188 Shepard Avenue E,Scarborough,Agincourt and Brimwood,43.785401,-79.279728,506b40c4e4b08468e6ce3ddd,0,0,0,0.0
Agincourt Community Services Association,Building,4155 Sheppard Ave. East,Scarborough,Agincourt and Brimwood,43.78465407558168,-79.28064437902866,4c0008dfca1920a1c1b8ed81,0,0,0,0.0
Dynasty Centre,Shopping Mall,8 Glen Watford Dr.,Scarborough,Agincourt and Brimwood,43.78678402377117,-79.27694690517586,501d9ed8e4b0b4a5ca12668f,0,0,2,0.0
CIBC,Bank,4256 Sheppard Ave E,Scarborough,Agincourt and Brimwood,43.787366,-79.275856,56ca50bc498e5841738ba4bf,6,0,0,0.0
In Optical,Optical Shop,79-71 Sheppard Ave E.,Scarborough,Agincourt and Brimwood,43.786177,-79.277422,508c4bd9e4b04ae58feb4d83,0,0,0,0.0
Tianjin Dumpling Restaurant 天津包子铺,Chinese Restaurant,4192 Sheppard Ave E,Scarborough,Agincourt and Brimwood,43.78516372850498,-79.27943340102273,54838447498e2f5b90530813,0,0,0,0.0
BMO Bank of Montreal,Bank,4841 Sheppard Ave E.,Scarborough,Agincourt and Brimwood,43.79173369999999,-79.2489708,4bc209e7f8219c74f625b410,0,0,0,0.0
Ogden Funeral Homes,Building,4164 Sheppard Ave E,Scarborough,Agincourt and Brimwood,43.78499,-79.280362,4b43bd8ef964a5201de825e3,0,0,0,1.0
Flavor Cuisine,Asian Restaurant,8 Glen Watford Dr,Scarborough,Agincourt and Brimwood,43.78684616088867,-79.27740478515625,557f6d4e498e0a0577e9dfda,0,0,0,0.0
Orient Express,Chinese Restaurant,4271 Sheppard Ave E,Scarborough,Agincourt and Brimwood,43.785513,-79.275966,5a1a09cc6e465009cd63d2c4,0,0,3,2.0
Liwan Kitchen (Liwan Kitchen 荔湾肠粉),Cantonese Restaurant,"4271 Sheppard Ave. E., Unit 2",Scarborough,Agincourt and Brimwood,43.785515,-79.27568,5ab2ecc26adbf54f0096d0bd,0,0,0,0.0
HK Garden 花園餐廳,Asian Restaurant,8 Glen Watford Dr. #G6,Scarborough,Agincourt and Brimwood,43.78666922108873,-79.27713800425371,5356a07e498e14ef6198dbfd,0,0,4,2.0
Beef Noodle Restaurant 老李牛肉麵,Chinese Restaurant,4271 Sheppard Ave. E,Scarborough,Agincourt and Brimwood,43.785937477135555,-79.27603076031062,4be303c52fc7d13ae879083a,6,0,5,12.0
Green Bamboo 青竹,Vietnamese Restaurant,4219 Sheppard Ave. E,Scarborough,Agincourt and Brimwood,43.78534584436866,-79.27764029905232,4af711e1f964a520780522e3,5,0,5,5.0
Golden Dumpling 王牌锅贴,Dumpling Restaurant,Cathay Plaza,Scarborough,Agincourt and Brimwood,43.785918,-79.275245,5b302162234724002cdf90a8,0,0,0,0.0
Dr. Kenneth Chow Dental Office,Dentist's Office,4211 Sheppard Ave East,Scarborough,Agincourt and Brimwood,43.78497726986898,-79.27817837091618,4d571a44611aa35dbcdb4939,0,0,0,0.0
老北京小吃,Peking Duck Restaurant,4227 Sheppard ave e,Scarborough,Agincourt and Brimwood,43.784454,-79.277626,589a815ada54ae4a8d83c90b,0,0,0,0.0
三味燒臘店 Sam May B.B.Q.,BBQ Joint,8 Glen Watford Drive,Scarborough,Agincourt and Brimwood,43.78683711022446,-79.27610313070434,4dc2d2181f6ebdce47319732,0,0,0,0.0
Walton Travel 暢通旅遊,Travel Agency,4211 Sheppard Ave. E.,Scarborough,Agincourt and Brimwood,43.78519776549326,-79.27837653468355,5408c75e498eae2eca58d80f,0,0,0,0.0
